set,item,exact_matches,normalized_matches,max_jaccard,nearest_plate,nearest_item
stream,255,0,0,0.0858,optmath_bench,102
stream,256,0,0,0.0111,optmath_bench,5
stream,257,0,0,0.0198,optmath_bench,5
stream,258,0,0,0.0067,optmath_bench,49
stream,259,0,0,0.0068,optmath_bench,102
stream,260,0,0,0.0119,optmath_bench,40
stream,261,0,0,0.0084,optibench,336
stream,262,0,0,0.0091,optmath_bench,5
stream,263,0,0,0.0148,optmath_bench,40
stream,264,0,0,0.0112,optmath_bench,78
stream,265,0,0,0.0113,mamo_complex_test,111
stream,266,0,0,0.0944,optmath_bench,102
stream,267,0,0,0.0612,optmath_bench,80
stream,268,0,0,0.0077,optmath_bench,44
stream,269,0,0,0.0059,optmath_bench,113
stream,270,0,0,0.0198,optmath_bench,40
stream,271,0,0,0.0072,optmath_bench,123
stream,272,0,0,0.1042,optmath_bench,131
stream,273,0,0,0.0086,optmath_bench,72
stream,274,0,0,0.0023,mamo_complex_test,38
stream,275,0,0,0.0112,industryor,31
stream,276,0,0,0.0106,optmath_bench,48
stream,277,0,0,0.1576,optmath_bench,130
stream,278,0,0,0.0121,complexor,6
stream,279,0,0,0.0103,complexor,6
stream,280,0,0,0.0111,optmath_bench,5
stream,281,0,0,0.0155,optmath_bench,72
stream,282,0,0,0.0134,complexor,3
stream,283,0,0,0.0053,mamo_complex_test,166
stream,284,0,0,0.0108,optmath_bench,50
stream,285,0,0,0.0224,complexor,3
stream,286,0,0,0.0756,optmath_bench,83
stream,287,0,0,0.0062,optmath_bench,124
stream,288,0,0,0.0087,optmath_bench,59
stream,289,0,0,0.0078,optmath_bench,76
stream,290,0,0,0.0094,mamo_complex_test,187
stream,291,0,0,0.006,optibench,128
stream,292,0,0,0.0075,optibench,336
stream,293,0,0,0.0226,optmath_bench,49
stream,294,0,0,0.0106,optmath_bench,112
stream,295,0,0,0.0108,optmath_bench,113
stream,296,0,0,0.0092,complexor,3
stream,297,0,0,0.0587,optmath_bench,61
stream,298,0,0,0.0107,optmath_bench,5
stream,299,0,0,0.1336,optmath_bench,103
stream,300,0,0,0.0069,optmath_bench,112
calibration,1,0,0,0.0035,optmath_bench,47
calibration,2,0,0,0.0044,optmath_bench,47
calibration,3,0,0,0.0041,optmath_bench,47
calibration,4,0,0,0.0038,optmath_bench,47
calibration,5,0,0,0.0041,optmath_bench,47
calibration,6,0,0,0.0028,mamo_complex_test,138
calibration,7,0,0,0.0021,optmath_bench,30
calibration,8,0,0,0.0035,mamo_complex_test,20
calibration,9,0,0,0.0015,mamo_complex_test,138
calibration,10,0,0,0.0015,mamo_complex_test,138
calibration,11,0,0,0.0038,optmath_bench,5
calibration,12,0,0,0.0056,optmath_bench,34
calibration,13,0,0,0.0041,optmath_bench,109
calibration,14,0,0,0.0032,mamo_complex_test,86
calibration,15,0,0,0.0037,optmath_bench,116
calibration,16,0,0,0.0071,optmath_bench,52
calibration,17,0,0,0.007,optmath_bench,52
calibration,18,0,0,0.0041,optmath_bench,109
calibration,19,0,0,0.0045,optmath_bench,109
calibration,20,0,0,0.0045,optmath_bench,109
calibration,21,0,0,0.0082,optibench,128
calibration,22,0,0,0.0081,optibench,128
calibration,23,0,0,0.0078,optmath_bench,59
calibration,24,0,0,0.0084,optmath_bench,77
calibration,25,0,0,0.007,optibench,128
calibration,26,0,0,0.0028,optmath_bench,142
calibration,27,0,0,0.003,optmath_bench,96
calibration,28,0,0,0.0028,optmath_bench,142
calibration,29,0,0,0.003,optmath_bench,96
calibration,30,0,0,0.0029,optmath_bench,96
calibration,31,0,0,0.0095,optibench,449
calibration,32,0,0,0.0092,optibench,449
calibration,33,0,0,0.0095,optibench,449
calibration,34,0,0,0.0097,optibench,449
calibration,35,0,0,0.0087,optibench,449
calibration,36,0,0,0.0041,mamo_complex_test,86
calibration,37,0,0,0.0063,optmath_bench,91
calibration,38,0,0,0.0016,optmath_bench,91
calibration,39,0,0,0.0048,optmath_bench,91
calibration,40,0,0,0.0037,optmath_bench,99
calibration,41,0,0,0.0036,optmath_bench,59
calibration,42,0,0,0.0045,optmath_bench,72
calibration,43,0,0,0.0052,optmath_bench,72
calibration,44,0,0,0.0045,optmath_bench,72
calibration,45,0,0,0.0046,optmath_bench,72
calibration,46,0,0,0.0012,optibench,143
calibration,47,0,0,0.0015,industryor,76
calibration,48,0,0,0.0028,optmath_bench,91
calibration,49,0,0,0.0027,optibench,81
calibration,50,0,0,0.0029,optibench,81
calibration,51,0,0,0.0012,industryor,29
calibration,52,0,0,0.0018,complexor,3
calibration,53,0,0,0.0071,mamo_complex_test,86
calibration,54,0,0,0.0022,optmath_bench,94
calibration,55,0,0,0.0023,optmath_bench,94
calibration,56,0,0,0.0031,industryor,13
calibration,57,0,0,0.0032,industryor,13
calibration,58,0,0,0.0091,optibench,305
calibration,59,0,0,0.0031,industryor,13
calibration,60,0,0,0.0031,industryor,13
calibration,61,0,0,0.0035,optmath_bench,116
calibration,62,0,0,0.0017,optmath_bench,116
calibration,63,0,0,0.0057,mamo_complex_test,100
calibration,64,0,0,0.0016,optmath_bench,116
calibration,65,0,0,0.0014,optmath_bench,116
calibration,66,0,0,0.0123,optmath_bench,116
calibration,67,0,0,0.0113,optmath_bench,116
calibration,68,0,0,0.0118,optmath_bench,116
calibration,69,0,0,0.0111,optmath_bench,116
calibration,70,0,0,0.0118,optmath_bench,116
calibration,71,0,0,0.0033,optmath_bench,47
calibration,72,0,0,0.0029,optmath_bench,47
calibration,73,0,0,0.0028,optmath_bench,47
calibration,74,0,0,0.0018,industryor,35
calibration,75,0,0,0.0032,optmath_bench,47
calibration,76,0,0,0.0046,mamo_complex_test,100
calibration,77,0,0,0.0042,mamo_complex_test,100
calibration,78,0,0,0.0047,mamo_complex_test,100
calibration,79,0,0,0.0051,mamo_complex_test,100
calibration,80,0,0,0.0045,mamo_complex_test,100
calibration,81,0,0,0.0058,optibench,449
calibration,82,0,0,0.0065,optibench,449
calibration,83,0,0,0.0066,optibench,449
calibration,84,0,0,0.0022,optmath_bench,50
calibration,85,0,0,0.0063,optibench,449
calibration,86,0,0,0.0026,optibench,432
calibration,87,0,0,0.0019,optibench,29
calibration,88,0,0,0.0018,optibench,29
calibration,89,0,0,0.0021,optibench,29
calibration,90,0,0,0.0025,optibench,504
calibration,91,0,0,0.0058,optmath_bench,58
calibration,92,0,0,0.0046,optmath_bench,60
calibration,93,0,0,0.0055,optmath_bench,58
calibration,94,0,0,0.0041,optmath_bench,109
calibration,95,0,0,0.0047,optmath_bench,60
calibration,96,0,0,0.0017,mamo_complex_test,24
calibration,97,0,0,0.0019,mamo_complex_test,24
calibration,98,0,0,0.0028,optmath_bench,59
calibration,99,0,0,0.0018,mamo_complex_test,24
calibration,100,0,0,0.0094,optmath_bench,59
calibration,101,0,0,0.0105,industryor,31
calibration,102,0,0,0.0118,industryor,31
calibration,103,0,0,0.0062,industryor,44
calibration,104,0,0,0.0088,industryor,31
calibration,105,0,0,0.0082,industryor,31
calibration,106,0,0,0.0033,optibench,518
calibration,107,0,0,0.0048,optmath_bench,72
calibration,108,0,0,0.005,optmath_bench,72
calibration,109,0,0,0.0049,optmath_bench,72
calibration,110,0,0,0.0033,optibench,518
calibration,111,0,0,0.0101,mamo_complex_test,86
calibration,112,0,0,0.0106,mamo_complex_test,86
calibration,113,0,0,0.0036,optmath_bench,133
calibration,114,0,0,0.006,optibench,432
calibration,115,0,0,0.0201,mamo_complex_test,86
calibration,116,0,0,0.0054,optmath_bench,14
calibration,117,0,0,0.0117,mamo_complex_test,86
calibration,118,0,0,0.0089,mamo_complex_test,86
calibration,119,0,0,0.0098,optmath_bench,5
calibration,120,0,0,0.0033,optibench,81
calibration,121,0,0,0.0076,mamo_complex_test,24
calibration,122,0,0,0.0124,optmath_bench,33
calibration,123,0,0,0.006,mamo_complex_test,24
calibration,124,0,0,0.0131,mamo_complex_test,86
calibration,125,0,0,0.0143,mamo_complex_test,86
calibration,126,0,0,0.0023,optmath_bench,158
calibration,127,0,0,0.0014,optmath_bench,25
calibration,128,0,0,0.0017,mamo_complex_test,96
calibration,129,0,0,0.0016,optmath_bench,158
calibration,130,0,0,0.0007,optmath_bench,35
calibration,131,0,0,0.0102,mamo_complex_test,86
calibration,132,0,0,0.0113,mamo_complex_test,86
calibration,133,0,0,0.0116,mamo_complex_test,86
calibration,134,0,0,0.0108,mamo_complex_test,86
calibration,135,0,0,0.0105,mamo_complex_test,86
calibration,136,0,0,0.0,,
calibration,137,0,0,0.0,,
calibration,138,0,0,0.0022,optmath_bench,98
calibration,139,0,0,0.0,,
calibration,140,0,0,0.0027,optibench,418
calibration,141,0,0,0.0106,mamo_complex_test,86
calibration,142,0,0,0.0094,mamo_complex_test,86
calibration,143,0,0,0.0107,mamo_complex_test,86
calibration,144,0,0,0.0109,mamo_complex_test,86
calibration,145,0,0,0.0109,mamo_complex_test,86
calibration,146,0,0,0.0024,mamo_complex_test,24
calibration,147,0,0,0.0023,mamo_complex_test,24
calibration,148,0,0,0.0023,mamo_complex_test,24
calibration,149,0,0,0.0031,industryor,44
calibration,150,0,0,0.0022,mamo_complex_test,24
calibration,151,0,0,0.0031,complexor,6
calibration,152,0,0,0.0029,optibench,567
calibration,153,0,0,0.0027,optmath_bench,91
calibration,154,0,0,0.0053,complexor,6
calibration,155,0,0,0.0014,optibench,518
calibration,156,0,0,0.002,mamo_complex_test,76
calibration,157,0,0,0.0039,mamo_complex_test,24
calibration,158,0,0,0.0042,mamo_complex_test,10
calibration,159,0,0,0.0038,mamo_complex_test,24
calibration,160,0,0,0.0035,optmath_bench,115
calibration,161,0,0,0.0029,optibench,44
calibration,162,0,0,0.0032,optibench,44
calibration,163,0,0,0.0056,optmath_bench,90
calibration,164,0,0,0.006,optmath_bench,130
calibration,165,0,0,0.0051,optmath_bench,90
calibration,166,0,0,0.0052,optmath_bench,93
calibration,167,0,0,0.0036,optmath_bench,50
calibration,168,0,0,0.0024,optmath_bench,116
calibration,169,0,0,0.0094,mamo_complex_test,86
calibration,170,0,0,0.0037,optmath_bench,50
calibration,171,0,0,0.0072,optmath_bench,63
calibration,172,0,0,0.0015,optmath_bench,12
calibration,173,0,0,0.0016,optmath_bench,12
calibration,174,0,0,0.002,optmath_bench,82
calibration,175,0,0,0.0021,optmath_bench,82
calibration,176,0,0,0.0,,
calibration,177,0,0,0.0,,
calibration,178,0,0,0.0,,
calibration,179,0,0,0.0,,
calibration,180,0,0,0.0,,
calibration,181,0,0,0.0154,optmath_bench,132
calibration,182,0,0,0.0023,optmath_bench,109
calibration,183,0,0,0.0028,optmath_bench,109
calibration,184,0,0,0.0033,optmath_bench,129
